tt60262241,The Diamond Smugglers,The Diamond Smugglers,1966,60,"Adventure,Family",5.4,11,8,producer,producer,1,7,Leonard B. Kaufman,1924,2009,"producer,writer,director"
tt60263125,The Case of the Tandem Target,The Case of the Tandem Target,1964,60,"Crime,Drama,Mystery",7.6,213,10,cinematographer,director of photography,7,29,Howard Schwartz,1919,1990,"cinematographer,camera_department,miscellaneous"
tt60263403,Its All Downhill from Here,Its All Downhill from Here,1982,60,"Adventure,Comedy,Sci-Fi",6.6,64,6,writer,created by,2,16,Stephen J. Cannell,1941,2010,"writer,producer,actor"
tt60264051,Log 125 A Safe Job,Log 125 A Safe Job,1971,25,"Crime,Drama",7.8,71,6,writer,created by,3,26,Robert A. Cinader,1924,1982,"writer,producer,miscellaneous"
tt60269380,My Mother My ChaperoneThe PresentThe Death and Life of Sir Albert DemerestWelcome Aboard Part 1,My Mother My ChaperoneThe PresentThe Death and Life of Sir Albert DemerestWelcome Aboard Part 1,1984,60,"Comedy,Drama,Romance",6.4,63,8,writer,written by,8,11,Art Baer,1925,2006,"writer,producer,script_department"
tt60269636,Another Neighbor,Another Neighbor,1964,30,"Comedy,Family",8.2,72,6,writer,created by,2,26,Paul Henning,1911,2005,"writer,producer,soundtrack"
tt60269774,Die Wahrheit über Jack,Die Wahrheit über Jack,1982,46,"Action,Adventure,Mystery",7.3,18,7,producer,producer,1,6,Bernd Burgemeister,1945,2008,"producer,production_manager"
tt60269913,Space Ranger,Space Ranger,1983,48,"Adventure,Comedy,Sci-Fi",6.8,60,7,writer,written by,3,8,Rudolph Borchert,1928,2003,"writer,script_department,miscellaneous"
tt60272182,A Present Sovereign,A Present Sovereign,1976,52,Drama,8.2,66,6,writer,creator,1,1,John Hawkesworth,1920,2003,"writer,producer,art_department"
tt60273428,A Horse for Uncle Charley,A Horse for Uncle Charley,1968,30,"Comedy,Family",6.0,39,6,writer,written by,8,22,Edmund Beloin,1910,1992,"producer,writer,actor"
tt60273451,Happy 100th Anniversary,Happy 100th Anniversary,1965,30,"Comedy,Family,Fantasy",7.4,142,10,writer,from a format by,2,6,Chris Hayward,1925,2006,"writer,miscellaneous,producer"
tt60273605,080 Method to the Madness,080 Method to the Madness,2003,50,"Crime,Drama",7.9,36,7,writer,series deviser,19,5,Geoff McQueen,1947,1994,"writer,miscellaneous"
tt60273795,Pink Elephants,Pink Elephants,1997,45,"Crime,Drama,Mystery",8.1,17,6,writer,created by,6,18,Stephen J. Cannell,1941,2010,"writer,producer,actor"
tt60274452,Election Bet,Election Bet,1960,25,"Comedy,Thriller",7.8,31,6,writer,teleplay,1,34,Lester Pine,1917,2001,writer
tt60276880,Lady on the Stagecoach,Lady on the Stagecoach,1959,26,Western,8.6,117,6,writer,written by,2,18,Steve Fisher,1912,1980,"writer,producer"
tt60281278,The Magnificent Forger,The Magnificent Forger,1967,60,"Adventure,Drama,War",8.2,11,7,writer,developer,1,15,David Karp,1922,1999,"writer,producer,miscellaneous"
tt60282054,The Mayor of Hooterville,The Mayor of Hooterville,1965,26,Comedy,7.5,23,6,writer,created by,2,29,Paul Henning,1911,2005,"writer,producer,soundtrack"
tt60282547,Short Sharp Shock,Short Sharp Shock,1997,25,"Crime,Drama",7.9,27,6,writer,deviser,13,62,Geoff McQueen,1947,1994,"writer,miscellaneous"
tt60282963,When the Green Woods Laugh Part 2,When the Green Woods Laugh Part 2,1991,51,"Comedy,Drama",8.0,72,8,producer,producer,1,4,Robert Banks Stewart,1931,2016,"writer,miscellaneous,producer"
tt60283083,The Frighteners,The Frighteners,1993,50,"Comedy,Crime,Drama",7.7,28,7,writer,writer,3,6,Brian Finch,1936,2007,"writer,director,script_department"
tt60289832,Episode 1162,Episode 1162,1967,22,"Drama,Fantasy,Horror",7.8,53,6,writer,creator,1,162,Dan Curtis,1927,2006,"producer,writer,director"
tt60293194,The Offer,The Offer,1962,30,Comedy,6.9,15,5,writer,writer,1,4,Ray Galton,1930,2018,"writer,producer,actor"
tt60293207,The Cannibals,The Cannibals,1977,60,"Action,Crime,Drama",7.2,61,9,writer,characters from novel,5,13,Carolyn Weston,1921,2001,writer
tt60296074,Episode 1256,Episode 1256,1967,22,"Drama,Fantasy,Horror",7.4,53,6,writer,creator,1,256,Dan Curtis,1927,2006,"producer,writer,director"
tt60299367,The Mark of a Man,The Mark of a Man,1966,75,Western,7.6,52,6,writer,writer,4,30,Harold Swanton,1915,1997,"writer,miscellaneous"
tt60301857,A Touching of Hands,A Touching of Hands,1963,60,Drama,7.6,24,6,writer,written by,1,7,Sy Salkowitz,1926,1991,"writer,director,production_manager"
tt60306506,The Accused,The Accused,1994,120,"Crime,Drama,Mystery",7.9,86,8,writer,story by,9,1,Joel Steiger,1942,2021,"producer,writer,miscellaneous"
tt60307083,472 Till Hell Freezes Over,472 Till Hell Freezes Over,2007,50,"Crime,Drama",7.5,14,6,writer,series deviser,23,2,Geoff McQueen,1947,1994,"writer,miscellaneous"
