tt91337700,The Case of the Red Riding Boots,The Case of the Red Riding Boots,1960,60,"Crime,Drama,Mystery",8.0,250,7,writer,written by,4,11,Harold Swanton,1915,1997,"writer,miscellaneous"
tt91346466,Four to Doomsday Part Four,Four to Doomsday Part Four,1982,25,"Adventure,Drama,Family",6.6,412,7,writer,creator,19,8,Sydney Newman,1917,1997,"writer,producer,director"
tt91349786,The Race,The Race,1964,60,Western,8.6,78,10,cinematographer,director of photography,7,1,Howard Schwartz,1919,1990,"cinematographer,camera_department,miscellaneous"
tt91359234,The Seance,The Seance,1954,25,Comedy,5.6,6,6,writer,based on characters created by,1,14,Blake Edwards,1922,2010,"writer,producer,director"
tt91361555,Freedom Is for Those Who Want It,Freedom Is for Those Who Want It,1963,30,Drama,8.4,6,7,writer,creator,1,30,Aaron Spelling,1923,2006,"producer,writer,actor"
tt91362149,Brothers in War,Brothers in War,1970,50,"Drama,History,War",7.3,9,7,writer,series devised by,1,11,John Finch,1925,2022,"writer,producer,miscellaneous"
tt91420480,Message to Fort Apache,Message to Fort Apache,1954,30,Western,8.8,34,9,producer,producer,4,3,Jack Chertok,1906,1995,"producer,miscellaneous"
tt91427865,The Singing Sands,The Singing Sands,1964,27,"Adventure,Drama,Family",7.1,463,7,writer,creator,1,15,Sydney Newman,1917,1997,"writer,producer,director"
tt91429573,The Quick and the Dead,The Quick and the Dead,1957,60,"Comedy,Western",8.5,146,7,cinematographer,director of photography,1,12,Frank V. Phillips,1912,1994,"cinematographer,camera_department"
tt91453284,Mother Enemy,Mother Enemy,1964,60,Drama,8.3,24,7,writer,created by,1,27,Gene Roddenberry,1921,1991,"writer,producer,miscellaneous"
tt91471109,Rome brûle Portrait de Shirley Clarke,Rome brûle Portrait de Shirley Clarke,1970,54,Documentary,6.6,24,5,writer,creator,1,45,Janine Bazin,1923,2003,"writer,producer,director"
tt91477819,The Corbomite Maneuver,The Corbomite Maneuver,1966,50,"Action,Adventure,Sci-Fi",8.0,4299,7,writer,created by,1,10,Gene Roddenberry,1921,1991,"writer,producer,miscellaneous"
tt91487508,The Mouse,The Mouse,1960,30,"Action,Crime,Drama",7.0,12,7,writer,characters,4,10,Blake Edwards,1922,2010,"writer,producer,director"
tt91492560,The First Born,The First Born,1962,60,Western,7.5,121,9,writer,created by,4,1,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt91493744,The Witness,The Witness,1969,60,Western,7.2,78,6,writer,created by,11,2,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt91513706,The Guilty,The Guilty,1962,60,Western,7.0,96,7,writer,creator,3,23,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt91515838,Checkmate,Checkmate,1965,24,"Adventure,Drama,Family",8.1,550,7,writer,creator,2,39,Sydney Newman,1917,1997,"writer,producer,director"
tt91520601,The Weight Part 2,The Weight Part 2,2004,43,"Action,Adventure,Drama",6.4,146,6,writer,created by,5,2,Gene Roddenberry,1921,1991,"writer,producer,miscellaneous"
tt91567976,Ordeal by Fire,Ordeal by Fire,1984,52,"Drama,History,Romance",7.8,51,5,writer,writer,1,6,Ken Taylor,1922,2011,"writer,script_department"
tt91574507,Stiftungsfest,Stiftungsfest,1974,58,"Crime,Drama",8.0,108,6,writer,writer,1,3,Herbert Reinecker,1914,2007,writer
tt91579674,The Payoff,The Payoff,1956,30,"Comedy,Drama,Music",6.5,26,6,writer,story and teleplay,4,31,Blake Edwards,1922,2010,"writer,producer,director"
tt91587875,Big Wheel,Big Wheel,1963,30,"Comedy,Family",7.8,20,9,cinematographer,director of photography,5,33,Gert Andersen,1907,1982,"cinematographer,camera_department"
tt91591697,The Idol,The Idol,1962,60,Western,8.4,66,7,writer,writer,6,11,Bob Wehling,1919,1983,"writer,actor,director"
tt91626912,Counterfeit Redskins,Counterfeit Redskins,1955,23,Western,8.4,33,8,producer,producer,4,51,Jack Chertok,1906,1995,"producer,miscellaneous"
tt91667640,The Six Napoleons,The Six Napoleons,1965,51,"Crime,Drama,History",8.0,31,7,writer,dramatised by,1,6,Giles Cooper,1918,1966,"writer,script_department,miscellaneous"
tt91672529,Blackout,Blackout,2005,47,"Comedy,Crime,Drama",7.8,14,6,writer,concept,19,4,Jürgen Roland,1925,2007,"director,writer,actor"
tt91675289,The Legacy,The Legacy,1959,30,"Family,Western",7.8,103,10,cinematographer,director of photography,2,11,Howard Schwartz,1919,1990,"cinematographer,camera_department,miscellaneous"
tt91678779,Destiny of the Daleks Episode Three,Destiny of the Daleks Episode Three,1979,25,"Adventure,Drama,Family",7.3,435,6,writer,by,17,3,Terry Nation,1930,1997,"writer,script_department,miscellaneous"
tt91680711,The Man with the Whip,The Man with the Whip,1958,30,"Action,Adventure,Comedy",7.4,68,10,cinematographer,director of photography,1,31,Gordon Avil,1899,1970,"cinematographer,camera_department,actor"
