tconst,startYear,runtimeMinutes,primaryTitle
tt58559328,1971,30,Love and the FuzzLove and the GroupieLove and the HousekeeperLove and Womens Lib
tt71539608,1971,30,Love and the FuzzLove and the GroupieLove and the HousekeeperLove and Womens Lib
tt22175940,1971,30,Love and the Only ChildLove and the Wig
tt48345388,1971,30,Love and the Only ChildLove and the Wig
tt71706057,1971,30,Lovers Dont Make House Calls
tt64457969,1971,30,Lovers Dont Make House Calls
tt11770215,1971,30,Lovers Dont Make House Calls
tt94056816,1971,30,Lovers Dont Make House Calls
tt91786570,1971,30,Lucy Goes Hawaiian Part One
tt61507451,1971,30,Lucy Goes Hawaiian Part One
tt95917296,1971,30,Lucy Goes Hawaiian Part One
tt60561564,1971,30,Lucy Goes Hawaiian Part One
tt40021143,1971,30,Lucy Goes Hawaiian Part Two
tt36517212,1971,30,Lucy Goes Hawaiian Part Two
tt90067461,1971,30,Lucy Goes Hawaiian Part Two
tt18884314,1971,30,Lucy Goes Hawaiian Part Two
tt67969507,1971,30,Lucy Helps David Frost Go NightNight
tt35129809,1971,30,Lucy Helps David Frost Go NightNight
tt46528583,1971,30,Lucy Helps David Frost Go NightNight
tt28117543,1971,30,Lucy Helps David Frost Go NightNight
tt50946511,1971,30,Lucy Helps David Frost Go NightNight
tt98333896,1971,30,Lucy Makes a Few Extra Dollars
tt66533740,1971,30,Lucy Makes a Few Extra Dollars
tt16902137,1971,30,Lucy Makes a Few Extra Dollars
tt55008667,1971,30,Lucy Makes a Few Extra Dollars
tt42216037,1971,30,Lucy Makes a Few Extra Dollars
tt63205863,1971,30,Lucy and Aladdins Lamp
tt26069279,1971,30,Lucy and Aladdins Lamp
tt71100712,1971,30,Lucy and Aladdins Lamp
tt26050573,1971,30,Lucy and Aladdins Lamp
tt82588914,1971,30,Lucy and Aladdins Lamp
tt58672150,1971,30,Lucy and Candid Camera
tt89785876,1971,30,Lucy and Candid Camera
tt25153263,1971,30,Lucy and Candid Camera
tt23024281,1971,30,Lucy and Candid Camera
tt54763062,1971,30,Lucy and Carol Burnett
tt40060923,1971,30,Lucy and Carol Burnett
tt72163696,1971,30,Lucy and Carol Burnett
tt21345058,1971,30,Lucy and Carol Burnett
tt96405330,1971,30,Lucy and Flip Go Legit
tt97267068,1971,30,Lucy and Flip Go Legit
tt35119598,1971,30,Lucy and Flip Go Legit
tt80021450,1971,30,Lucy and Flip Go Legit
tt99507250,1971,30,Lucy and Flip Go Legit
tt60169285,1971,30,Lucy and Harrys Italian Bombshell
tt26571763,1971,30,Lucy and Harrys Italian Bombshell
tt66048778,1971,30,Lucy and Harrys Italian Bombshell
tt42206386,1971,30,Lucy and Harrys Italian Bombshell
tt87900918,1971,30,Lucy and Harrys Italian Bombshell
tt36710279,1971,30,Lucy and Her AllNun Band
tt93724411,1971,30,Lucy and Her AllNun Band
tt49529506,1971,30,Lucy and Her AllNun Band
tt60004009,1971,30,Lucy and Her AllNun Band
tt70969319,1971,30,Lucy and Her AllNun Band
tt30137962,1971,30,Lucy and Mannix Are Held Hostage
tt86120348,1971,30,Lucy and Mannix Are Held Hostage
